date,value,category,topic
2022-12-18,15.86339025406081,Economics,Finance
2022-12-19,36.13327780091629,Economics,Finance
2022-12-20,37.014577259475224,Economics,Finance
2022-12-21,37.014577259475224,Economics,Finance
2022-12-22,35.251978342357354,Economics,Finance
2022-12-23,31.72678050812162,Economics,Finance
2022-12-24,18.507288629737612,Economics,Finance
2022-12-25,14.100791336942942,Economics,Finance
2022-12-26,24.676384839650147,Economics,Finance
2022-12-27,31.72678050812162,Economics,Finance
2022-12-28,34.81132861307789,Economics,Finance
2022-12-29,33.489379425239484,Economics,Finance
2022-12-30,33.04872969596002,Economics,Finance
2022-12-31,19.388588088296544,Economics,Finance
2023-01-01,16.304039983340278,Economics,Finance
2023-01-02,30.845481049562686,Economics,Finance
2023-01-03,37.89587671803416,Economics,Finance
2023-01-04,40.53977509371096,Economics,Finance
2023-01-05,42.74302374010829,Economics,Finance
2023-01-06,38.77717617659309,Economics,Finance
2023-01-07,23.795085381091216,Economics,Finance
2023-01-08,19.82923781757601,Economics,Finance
2023-01-09,38.77717617659309,Economics,Finance
2023-01-10,39.65847563515202,Economics,Finance
2023-01-11,36.57392753019575,Economics,Finance
2023-01-12,38.336526447313624,Economics,Finance
2023-01-13,38.336526447313624,Economics,Finance
2023-01-14,21.59183673469388,Economics,Finance
2023-01-15,18.94793835901708,Economics,Finance
2023-01-16,34.37067888379842,Economics,Finance
2023-01-17,39.21782590587256,Economics,Finance
2023-01-18,39.65847563515202,Economics,Finance
2023-01-19,38.77717617659309,Economics,Finance
2023-01-20,36.13327780091629,Economics,Finance
2023-01-21,22.473136193252813,Economics,Finance
2023-01-22,18.507288629737612,Economics,Finance
2023-01-23,39.65847563515202,Economics,Finance
2023-01-24,40.099125364431494,Economics,Finance
2023-01-25,38.336526447313624,Economics,Finance
2023-01-26,35.251978342357354,Economics,Finance
2023-01-27,37.89587671803416,Economics,Finance
2023-01-28,22.032486463973346,Economics,Finance
2023-01-29,19.82923781757601,Economics,Finance
2023-01-30,39.21782590587256,Economics,Finance
2023-01-31,40.98042482299043,Economics,Finance
2023-02-01,42.30237401082883,Economics,Finance
2023-02-02,44.06497292794669,Economics,Finance
2023-02-03,40.98042482299043,Economics,Finance
2023-02-04,25.117034568929615,Economics,Finance
2023-02-05,21.151187005414414,Economics,Finance
2023-02-06,40.98042482299043,Economics,Finance
2023-02-07,40.099125364431494,Economics,Finance
2023-02-08,40.099125364431494,Economics,Finance
2023-02-09,40.98042482299043,Economics,Finance
2023-02-10,38.336526447313624,Economics,Finance
2023-02-11,21.59183673469388,Economics,Finance
2023-02-12,18.066638900458145,Economics,Finance
2023-02-13,36.57392753019575,Economics,Finance
