date,value,category,topic
2025-08-10,57,Security,Surveillance
2025-08-11,68,Security,Surveillance
2025-08-12,85,Security,Surveillance
2025-08-13,81,Security,Surveillance
2025-08-14,86,Security,Surveillance
2025-08-15,84,Security,Surveillance
2025-08-16,80,Security,Surveillance
2025-08-17,81,Security,Surveillance
2025-08-18,90,Security,Surveillance
2025-08-19,100,Security,Surveillance
2025-08-02,57,Security,Border Control
2025-08-03,74,Security,Border Control
2025-08-04,72,Security,Border Control
2025-08-05,59,Security,Border Control
2025-08-06,54,Security,Border Control
2025-08-07,52,Security,Border Control
2025-08-08,53,Security,Border Control
2025-08-09,59,Security,Border Control
2025-08-10,74,Security,Border Control
2025-08-11,66,Security,Border Control
2025-08-12,76,Security,Border Control
2025-08-13,74,Security,Border Control
2025-08-14,86,Security,Border Control
2025-08-15,100,Security,Border Control
2025-08-16,85,Security,Border Control
2025-08-17,96,Security,Border Control
2025-08-18,95,Security,Border Control
2025-08-19,92,Security,Border Control
2025-08-02,0,Security,Counterterrorism
2025-08-03,48,Security,Counterterrorism
2025-08-04,49,Security,Counterterrorism
2025-08-05,48,Security,Counterterrorism
2025-08-06,50,Security,Counterterrorism
2025-08-07,48,Security,Counterterrorism
2025-08-08,55,Security,Counterterrorism
2025-08-09,57,Security,Counterterrorism
2025-08-10,55,Security,Counterterrorism
2025-08-11,72,Security,Counterterrorism
2025-08-12,83,Security,Counterterrorism
2025-08-13,97,Security,Counterterrorism
2025-08-14,91,Security,Counterterrorism
2025-08-15,98,Security,Counterterrorism
2025-08-16,89,Security,Counterterrorism
2025-08-17,93,Security,Counterterrorism
2025-08-18,100,Security,Counterterrorism
2025-08-19,95,Security,Counterterrorism
